"species","decimalLongitude","decimalLatitude"
"Salminus_brasiliensis",-49.254611,-20.42333
"Salminus_brasiliensis",-48.575194,-20.126444
"Salminus_brasiliensis",-49.26,-20.42
"Salminus_brasiliensis",-49.255,-20.423
"Salminus_brasiliensis",-56.649936,-20.983012
"Salminus_brasiliensis",-56.649667,-20.983333
"Salminus_brasiliensis",-52.481667,-21.689089
"Salminus_brasiliensis",-52.481667,-21.689089
"Salminus_brasiliensis",-57.303056,-19.405833
"Salminus_brasiliensis",-56.4503,-21.173
"Salminus_brasiliensis",-56.4503,-21.173
"Salminus_brasiliensis",-56.4503,-21.173
"Salminus_brasiliensis",-48.56,-22.5
"Salminus_brasiliensis",-48.561,-22.499
"Salminus_brasiliensis",-56.4503,-21.173
"Salminus_brasiliensis",-56.4417,-21.4342
"Salminus_brasiliensis",-63.5,-21.266
"Salminus_brasiliensis",-63.538,-21.264
"Salminus_brasiliensis",-47.520556,-17.3775
"Salminus_brasiliensis",-48.561316,-22.498333
"Salminus_brasiliensis",-49.633888,-20.180666
"Salminus_brasiliensis",-53.764555,-23.369758
"Salminus_brasiliensis",-53.77,-23.37
"Salminus_brasiliensis",-53.765,-23.37
"Salminus_brasiliensis",-60.200192,-33.287872
"Salminus_brasiliensis",-60.680307,-31.640247
"Salminus_brasiliensis",-47.208056,-16.869167
"Salminus_brasiliensis",-48.487778,-22.339722
"Salminus_brasiliensis",-56.45174,-21.424924
"Salminus_brasiliensis",-58.511167,-33.007778
"Salminus_brasiliensis",-53.78,-24.796111
"Salminus_brasiliensis",-53.537222,-22.794444
"Salminus_brasiliensis",-53.537222,-22.794444
"Salminus_brasiliensis",-53.537222,-22.794444
"Salminus_brasiliensis",-53.537222,-22.794444
"Salminus_brasiliensis",-59.98642,-31.216414
"Salminus_brasiliensis",-53.5525,-22.825833
"Salminus_brasiliensis",-53.561944,-22.835278
"Salminus_brasiliensis",-53.561944,-22.835278
"Salminus_brasiliensis",-53.539167,-22.799722
"Salminus_brasiliensis",-53.290278,-22.723056
"Salminus_brasiliensis",-53.251944,-22.761111
"Salminus_brasiliensis",-56.492892,-21.128627
"Salminus_brasiliensis",-58.344741,-34.607427
"Salminus_brasiliensis",-53.539167,-22.799722
"Salminus_brasiliensis",-53.253056,-22.747222
"Salminus_brasiliensis",-53.576944,-22.81
"Salminus_brasiliensis",-54.051111,-22.776667
"Salminus_brasiliensis",-60.055482,-33.445235
"Salminus_brasiliensis",-58.49139,-34.02556
"Salminus_brasiliensis",-58.4914,-34.0256
"Salminus_brasiliensis",-41.207278,-21.73944
"Salminus_brasiliensis",-60.67474,-32.90986
"Salminus_brasiliensis",-60.67474,-32.90986
"Salminus_brasiliensis",-60.674736,-32.909864
"Salminus_brasiliensis",-60.633633,-32.910019
"Salminus_brasiliensis",-60.674736,-32.909864
"Salminus_brasiliensis",-50.478667,-23.297194
"Salminus_brasiliensis",-50.478667,-23.297194
"Salminus_brasiliensis",-60.67474,-32.90986
"Salminus_brasiliensis",-60.674736,-32.909864
"Salminus_brasiliensis",-60.67392,-32.86461
"Salminus_brasiliensis",-53.566667,-22.8
"Salminus_brasiliensis",-58.393547,-34.570018
"Salminus_brasiliensis",-42.755,-19.1525
"Salminus_brasiliensis",-54.591667,-25.555833
"Salminus_brasiliensis",-58.564749,-33.662935
"Salminus_brasiliensis",-54.475353,-25.631531
"Salminus_brasiliensis",-54.475353,-25.631531
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-60.91,-34.17
"Salminus_brasiliensis",-47,-22
"Salminus_brasiliensis",-47,-22
"Salminus_brasiliensis",-53.592222,-17.644167
"Salminus_brasiliensis",-53.568889,-20.672778
"Salminus_brasiliensis",-58.723656,-33.662537
"Salminus_brasiliensis",-52.536944,-25.702778
"Salminus_brasiliensis",-52.764722,-19.264444
"Salminus_brasiliensis",-56.386085,-21.421206
"Salminus_brasiliensis",-56.533333,-19.549722
"Salminus_brasiliensis",-73.61,3.66
"Salminus_brasiliensis",-57.040778,-19.512417
"Salminus_brasiliensis",-57.040778,-19.512417
"Salminus_brasiliensis",0,0
"Salminus_brasiliensis",-58.443357,-34.601424
"Salminus_brasiliensis",-58.346032,-34.606894
"Salminus_brasiliensis",-54.55,-25.433333
"Salminus_brasiliensis",-44.785556,-17.289444
